name,pitcher,pitches,hand,fastball,avg_velo,max_velo,offspeed_rate,primary_offspeed,avg_rel_ext,release_angle_ground
Joan Adon,672851,1204,R,FF,94.72271573604061,98.1,0.3064784053156146,CB,6.325333333333333,66.97382807222178
Dane Dunning,641540,2548,R,FT,89.78635917566241,93.7,0.4803767660910518,SL,6.572174254317112,64.7212499054687
Kyle Gibson,502043,2739,R,FT,92.51194805194805,96,0.38298649142022634,SL,6.712230741146404,69.85745870954764
Nathan Eovaldi,543135,1739,R,FF,96.16971514242879,100.3,0.515813686026452,SP,6.648821161587119,66.63666978719182
Chad Kuhl,641771,2375,R,FT,92.84920159680638,96.4,0.5532631578947369,SL,6.355728727885426,67.41426114081891
Carlos Hernández,672578,1035,R,FF,93.3895145631068,101.9,0.49951690821256034,KC,6.583516483516483,80.0812302864939
Chris Archer,502042,1787,R,FF,92.95188087774295,96.7,0.642977056519306,SL,6.177336317851148,77.63773672188172
Connor Overton,656818,469,R,FT,90.45503875968993,92.7,0.5095948827292112,SL,6.132409381663113,73.76792159364473
José Berríos,621244,2721,R,FF,93.95131926121373,97.6,0.46306504961411243,CB,6.402168320470415,62.21101811251293
Bryce Elder,693821,873,R,FT,89.8048780487805,92.8,0.3883161512027491,SL,5.827605956471936,78.38016158477433
Taijuan Walker,592836,2499,R,FF,92.9753052917232,96.5,0.5254101640656262,SP,5.968027210884354,71.11060086742249
Luis Garcia,677651,2468,R,FF,93.45077071290945,97.4,0.28322528363047,CB,6.097811993517018,76.77489968994759
Spenser Watkins,657093,1642,R,FF,90.60142857142857,94.5,0.3185140073081608,SL,6.220049049662784,73.52036310493568
JT Brubaker,664141,2381,R,FT,91.94969939879759,95.6,0.5216295674086519,SL,5.642857142857143,69.61321285737574
Michael Rucker,621074,893,R,FF,91.3386189258312,98.8,0.5599104143337066,SL,6.1359212050984935,70.63415711960864
Matt Wisler,605538,749,R,FF,88.7453125,90.5,0.9145527369826435,SL,5.787716955941255,75.00241588044285
Ronald Bolaños,671790,332,R,FT,93.82072072072071,99.1,0.4548192771084338,SL,6.583734939759037,72.15405325000714
Chris Stratton,608717,1100,R,FF,93.55485232067511,96.2,0.5509090909090909,CB,6.550090909090909,73.93146537594673
Ian Kennedy,453178,867,R,FF,93.60780141843972,95.9,0.1637831603229527,CH,6.602998846597463,75.61526932571296
Spencer Strider,675911,2277,R,FF,99.20026229508197,103.6,0.3302591128678085,SL,6.9160369068541305,69.7694203591771
Jeurys Familia,544727,817,R,FT,94.42433862433863,97.8,0.2962056303549572,SL,5.78531211750306,76.74695725706711
Andrés Machado,600921,997,R,FT,95.95892857142857,98.8,0.35707121364092276,SL,6.809929789368105,71.71372814456802
Jaime Barria,642545,1123,R,FF,91.66150627615063,94.2,0.6073018699910953,SL,6.021638468388246,73.42150489896565
Corey Knebel,608349,794,R,FF,95.93447653429602,98.6,0.3022670025188917,KC,6.499874055415617,75.11086472319757
Reyes Moronta,606625,640,R,FF,95.5741935483871,99.8,0.4671875,SL,6.3715625000000005,76.96069776094156
Jake Cousins,664776,267,R,FT,96.04086956521739,98.6,0.5692883895131087,SL,6.781647940074906,55.00811341833584
